ingredient_name,ingredient_id,nafdac_url,page_scraped,ingredient_name_clean,is_combination,component_count,components
Ammonium Chloride; Turpentine Oil; Strong Ammonia Solution ; Ammonium Bicarbonate; Oleic Acid,2046,https://greenbook.nafdac.gov.ng/ingredient/products/2046,3,Ammonium Chloride; Turpentine Oil; Strong Ammonia Solution; Ammonium Bicarbonate; Oleic Acid,True,5,Ammonium Chloride | Turpentine Oil | Strong Ammonia Solution | Ammonium Bicarbonate | Oleic Acid
Amodiaquine (Amodiaquine Hydrochloride),550,https://greenbook.nafdac.gov.ng/ingredient/products/550,3,Amodiaquine (Amodiaquine Hydrochloride),False,1,Amodiaquine
Amodiaquine (Amodiaquine Hydrochloride); Sulfadoxine; Pyrimethamine,533,https://greenbook.nafdac.gov.ng/ingredient/products/533,3,Amodiaquine (Amodiaquine Hydrochloride); Sulfadoxine; Pyrimethamine,True,3,Amodiaquine | Sulfadoxine | Pyrimethamine
"AMODIAQUINE,ARTESUNATE",2321,https://greenbook.nafdac.gov.ng/ingredient/products/2321,3,"AMODIAQUINE, ARTESUNATE",True,2,AMODIAQUINE | ARTESUNATE
Amoxicillin,2253,https://greenbook.nafdac.gov.ng/ingredient/products/2253,3,Amoxicillin,False,1,Amoxicillin
Amoxicillin (Amoxicillin Sodium),422,https://greenbook.nafdac.gov.ng/ingredient/products/422,3,Amoxicillin (Amoxicillin Sodium),False,1,Amoxicillin
Amoxicillin (Amoxicillin Sodium); Clavulanic Acid (Potassium Clavulanate),1545,https://greenbook.nafdac.gov.ng/ingredient/products/1545,3,Amoxicillin (Amoxicillin Sodium); Clavulanic Acid (Potassium Clavulanate),True,2,Amoxicillin | Clavulanic Acid
Amoxicillin (Amoxicillin Trihydrate),1546,https://greenbook.nafdac.gov.ng/ingredient/products/1546,3,Amoxicillin (Amoxicillin Trihydrate),False,1,Amoxicillin
Amoxicillin (Amoxicillin Trihydrate); Clavulanic Acid (Potassium Clavulanate),423,https://greenbook.nafdac.gov.ng/ingredient/products/423,3,Amoxicillin (Amoxicillin Trihydrate); Clavulanic Acid (Potassium Clavulanate),True,2,Amoxicillin | Clavulanic Acid
"Amoxicillin Trihydrate, Potassium Clavulanate",2209,https://greenbook.nafdac.gov.ng/ingredient/products/2209,3,"Amoxicillin Trihydrate, Potassium Clavulanate",True,2,Amoxicillin Trihydrate | Clavulanate
Amoxicillin trihydrate; Colistin sulfate; Paracetamol,1675,https://greenbook.nafdac.gov.ng/ingredient/products/1675,3,Amoxicillin trihydrate; Colistin sulfate; Paracetamol,True,3,Amoxicillin trihydrate | Colistin | Paracetamol
Amoxicillin; Flucloxacillin,1275,https://greenbook.nafdac.gov.ng/ingredient/products/1275,3,Amoxicillin; Flucloxacillin,True,2,Amoxicillin | Flucloxacillin
Amphotericin B,512,https://greenbook.nafdac.gov.ng/ingredient/products/512,3,Amphotericin B,False,1,Amphotericin B
Ampicillin (Ampicillin Sodium),1608,https://greenbook.nafdac.gov.ng/ingredient/products/1608,3,Ampicillin (Ampicillin Sodium),False,1,Ampicillin
Ampicillin (Ampicillin Sodium); Cloxacillin (Cloxacillin Sodium),1609,https://greenbook.nafdac.gov.ng/ingredient/products/1609,3,Ampicillin (Ampicillin Sodium); Cloxacillin (Cloxacillin Sodium),True,2,Ampicillin | Cloxacillin
Ampicillin (Ampicillin Trihydrate),424,https://greenbook.nafdac.gov.ng/ingredient/products/424,3,Ampicillin (Ampicillin Trihydrate),False,1,Ampicillin
Ampicillin (Ampicillin Trihydrate); Cloxacillin (Cloxacillin Sodium),425,https://greenbook.nafdac.gov.ng/ingredient/products/425,3,Ampicillin (Ampicillin Trihydrate); Cloxacillin (Cloxacillin Sodium),True,2,Ampicillin | Cloxacillin
"Amylmetacresol; 2,4-Dichlorobenzyl alcohol",827,https://greenbook.nafdac.gov.ng/ingredient/products/827,3,"Amylmetacresol; 2, 4-Dichlorobenzyl alcohol",True,3,Amylmetacresol | 4-Dichlorobenzyl alcohol
Analyzer,2161,https://greenbook.nafdac.gov.ng/ingredient/products/2161,3,Analyzer,False,1,Analyzer
