generic_name,generic_name_lower,source_ingredient,ingredient_id,is_combination,nafdac_url
Dicycloverine,dicycloverine,Diclofenac Potassium; Dicycloverine Hydrochloride,1186,True,https://greenbook.nafdac.gov.ng/ingredient/products/1186
Didanosine,didanosine,Didanosine,586,False,https://greenbook.nafdac.gov.ng/ingredient/products/586
Dienogest,dienogest,Dienogest,1741,False,https://greenbook.nafdac.gov.ng/ingredient/products/1741
Diethylcarbamazine,diethylcarbamazine,Diethylcarbamazine,577,False,https://greenbook.nafdac.gov.ng/ingredient/products/577
Diethylstilbestrol,diethylstilbestrol,Diethylstilbestrol,1479,False,https://greenbook.nafdac.gov.ng/ingredient/products/1479
Diflucortolone,diflucortolone,Diflucortolone; Isoconazole,872,True,https://greenbook.nafdac.gov.ng/ingredient/products/872
Diflucortolone valerate,diflucortolone valerate,Diflucortolone valerate,871,False,https://greenbook.nafdac.gov.ng/ingredient/products/871
Digoxin,digoxin,Digoxin,223,False,https://greenbook.nafdac.gov.ng/ingredient/products/223
Dihydroartemisin,dihydroartemisin,Dihydroartemisin; Piperaquine Phosphate,2194,True,https://greenbook.nafdac.gov.ng/ingredient/products/2194
Dihydroartemisinin,dihydroartemisinin,Dihydroartemisinin; Piperaquine Phosphate,535,True,https://greenbook.nafdac.gov.ng/ingredient/products/535
Dihydrocodeine,dihydrocodeine,Dihydrocodeine,51,False,https://greenbook.nafdac.gov.ng/ingredient/products/51
Dihydroergocristine,dihydroergocristine,Reserpine; Clopamide; Dihydroergocristine,249,True,https://greenbook.nafdac.gov.ng/ingredient/products/249
dihydrogen,dihydrogen,Urea; Latic acid; Glycine; Ammonium chloride; Sodium Chloride; Potassium chloride; Calcium lactate; Magnesium chloride; Sodium dihydrogen phosphate dihydrate; Stearic acid; Cetyl Alcohol; Glycerin; Disodium Edetate,1681,True,https://greenbook.nafdac.gov.ng/ingredient/products/1681
Dill Oil,dill oil,"Dill Oil, Sodium Bicarbonate, Sodium Citrate, Ginger Tincture",2285,True,https://greenbook.nafdac.gov.ng/ingredient/products/2285
Dill water,dill water,Paracetamol; Chlorphenamine Maleate; Dill water,985,True,https://greenbook.nafdac.gov.ng/ingredient/products/985
Diloxanide,diloxanide,Diloxanide; Metronidazole,555,True,https://greenbook.nafdac.gov.ng/ingredient/products/555
